Categorie,COD,Nome,Breve descrizione,Descrizione,Prezzo di listino,Marca,In stock?,Immagine,ID
Videogiochi > Giochi,PS4SWACT0081,PS4 Call of Duty VANGUARD,PS4 Call of Duty VANGUARD,"<div class=""col_center""><div class=""box2""><div class=""box-content""><p>Per anni, il mondo &egrave; stato tenuto in scacco dalla pi&ugrave; immensa e letale guerra mai vista, ma le sorti della Seconda guerra mondiale stanno finalmente cambiando.</p><p>Ora tocca ad alcuni eroi farsi avanti e cambiare il futuro della guerra per sempre.</p><p>Il leggendario franchise di Call of Duty&reg; torna con Call of Duty&reg;: Vanguard, che metter&agrave; i giocatori nei panni degli eroi della Seconda guerra mondiale attraverso gli eventi che li hanno uniti. Sviluppato da Sledgehammer Games, Vanguard &egrave; una storia profonda e coinvolgente che vede come protagonisti un gruppo di soldati provenienti da diversi paesi che si uniscono per affrontare la pi&ugrave; grande minaccia di sempre, cambiando le sorti della guerra e gettando le basi per ci&ograve; che oggi conosciamo come le forze speciali.</p><p>Attraverso la straordinaria avventura di questi indomiti soldati, i giocatori toccheranno con mano le battaglie della Seconda guerra mondiale, partecipando ai teatri di vittorie nei fronti orientali e occidentali in Europa, nel Pacifico, e in Nord Africa. Che si tratti di duelli nei cieli delle isole Midway, di difendere Stalingrado col fine occhio di un cecchino, di paracadutarsi sulla Francia, o di farsi strada attraverso le forze all'avanzata in Nord Africa, la campagna di Call of Duty: Vanguard immerger&agrave; i giocatori in una profonda e coinvolgente narrativa con straordinari personaggi, e combattimenti di dimensioni globali senza precedenti, raccontando allo stesso tempo le struggenti storie di coloro che hanno ribaltato le sorti della guerra, cambiando la storia per sempre.</p><p>Oltre alla campagna, le interminabili avversit&agrave; della battaglia globale spingono la battaglia ulteriormente in questo pacchetto di contenuti epici, tra cui le emozionanti modalit&agrave; multigiocatore e cooperativa. I giocatori diventeranno le avanguardie del mutevole volto della guerra mentre cercheranno di lasciare il segno nei celebri scontri a fuoco di Call of Duty e nella ormai collaudata esperienza multigiocatore. I giocatori saranno anche in grado di mostrare il proprio valore cercando di sopravvivere alle interminabili ondate di non morti in una nuova esperienza Zombi da brividi, sviluppata da Treyarch Studios.</p><p>Call of Duty: Vanguard includer&agrave; inoltre una nuova integrazione con Call of Duty&reg;: Warzone&trade; in seguito al lancio, e comprender&agrave; cross-play, progressione incrociata, partite tra generazioni differenti di console, oltre a un fittissimo calendario di contenuti gratuiti che aggiungeranno nuove mappe multigiocatore, modalit&agrave;, eventi stagionali, celebrazioni della community e molto altro.</p><p>La storia &egrave; stata scritta su questi fronti. &Egrave; stata vinta con queste tattiche. &Egrave; stata preservata da questi eroi. &Egrave; ora di vivere terrore e trionfo attraverso i loro occhi e di affrontare la pi&ugrave; grande sfida mai affrontata che il mondo abbia mai visto. &Egrave; arrivato il momento di dominare su tutti i fronti.</p></div></div></div><div class=""col_right""><div class=""box-carrello"">&nbsp;</div></div>","55,99",Activision Blizzard,50,https://www.erregame.com/P/D/C33533DE18F4410611000000000000000000000000000000.bmp/PS4SWACT0081.jpg,37224
Videogiochi > Giochi,PS5SWACT0003,PS5 Call of Duty VANGUARD,PS5 Call of Duty VANGUARD,"<div class=""col_center""><div class=""box2""><div class=""box-content""><p>Per anni, il mondo &egrave; stato tenuto in scacco dalla pi&ugrave; immensa e letale guerra mai vista, ma le sorti della Seconda guerra mondiale stanno finalmente cambiando.</p><p>Ora tocca ad alcuni eroi farsi avanti e cambiare il futuro della guerra per sempre.</p><p>Il leggendario franchise di Call of Duty&reg; torna con Call of Duty&reg;: Vanguard, che metter&agrave; i giocatori nei panni degli eroi della Seconda guerra mondiale attraverso gli eventi che li hanno uniti. Sviluppato da Sledgehammer Games, Vanguard &egrave; una storia profonda e coinvolgente che vede come protagonisti un gruppo di soldati provenienti da diversi paesi che si uniscono per affrontare la pi&ugrave; grande minaccia di sempre, cambiando le sorti della guerra e gettando le basi per ci&ograve; che oggi conosciamo come le forze speciali.</p><p>Attraverso la straordinaria avventura di questi indomiti soldati, i giocatori toccheranno con mano le battaglie della Seconda guerra mondiale, partecipando ai teatri di vittorie nei fronti orientali e occidentali in Europa, nel Pacifico, e in Nord Africa. Che si tratti di duelli nei cieli delle isole Midway, di difendere Stalingrado col fine occhio di un cecchino, di paracadutarsi sulla Francia, o di farsi strada attraverso le forze all'avanzata in Nord Africa, la campagna di Call of Duty: Vanguard immerger&agrave; i giocatori in una profonda e coinvolgente narrativa con straordinari personaggi, e combattimenti di dimensioni globali senza precedenti, raccontando allo stesso tempo le struggenti storie di coloro che hanno ribaltato le sorti della guerra, cambiando la storia per sempre.</p><p>Oltre alla campagna, le interminabili avversit&agrave; della battaglia globale spingono la battaglia ulteriormente in questo pacchetto di contenuti epici, tra cui le emozionanti modalit&agrave; multigiocatore e cooperativa. I giocatori diventeranno le avanguardie del mutevole volto della guerra mentre cercheranno di lasciare il segno nei celebri scontri a fuoco di Call of Duty e nella ormai collaudata esperienza multigiocatore. I giocatori saranno anche in grado di mostrare il proprio valore cercando di sopravvivere alle interminabili ondate di non morti in una nuova esperienza Zombi da brividi, sviluppata da Treyarch Studios.</p><p>Call of Duty: Vanguard includer&agrave; inoltre una nuova integrazione con Call of Duty&reg;: Warzone&trade; in seguito al lancio, e comprender&agrave; cross-play, progressione incrociata, partite tra generazioni differenti di console, oltre a un fittissimo calendario di contenuti gratuiti che aggiungeranno nuove mappe multigiocatore, modalit&agrave;, eventi stagionali, celebrazioni della community e molto altro.</p><p>La storia &egrave; stata scritta su questi fronti. &Egrave; stata vinta con queste tattiche. &Egrave; stata preservata da questi eroi. &Egrave; ora di vivere terrore e trionfo attraverso i loro occhi e di affrontare la pi&ugrave; grande sfida mai affrontata che il mondo abbia mai visto. &Egrave; arrivato il momento di dominare su tutti i fronti.</p></div></div></div><div class=""col_right""><div class=""box-carrello"">&nbsp;</div></div>","59,99",Activision Blizzard,50,https://www.erregame.com/P/D/C33573DE18F4410413000000000000000000000000000000.bmp/PS5SWACT0003.jpg,37225
Videogiochi > Giochi,XB1SWACT0044,XBOX ONE Call of Duty VANGUARD,XBOX ONE Call of Duty VANGUARD,"<div class=""col_center""><div class=""box2""><div class=""box-content""><p>Per anni, il mondo &egrave; stato tenuto in scacco dalla pi&ugrave; immensa e letale guerra mai vista, ma le sorti della Seconda guerra mondiale stanno finalmente cambiando.</p><p>Ora tocca ad alcuni eroi farsi avanti e cambiare il futuro della guerra per sempre.</p><p>Il leggendario franchise di Call of Duty&reg; torna con Call of Duty&reg;: Vanguard, che metter&agrave; i giocatori nei panni degli eroi della Seconda guerra mondiale attraverso gli eventi che li hanno uniti. Sviluppato da Sledgehammer Games, Vanguard &egrave; una storia profonda e coinvolgente che vede come protagonisti un gruppo di soldati provenienti da diversi paesi che si uniscono per affrontare la pi&ugrave; grande minaccia di sempre, cambiando le sorti della guerra e gettando le basi per ci&ograve; che oggi conosciamo come le forze speciali.</p><p>Attraverso la straordinaria avventura di questi indomiti soldati, i giocatori toccheranno con mano le battaglie della Seconda guerra mondiale, partecipando ai teatri di vittorie nei fronti orientali e occidentali in Europa, nel Pacifico, e in Nord Africa. Che si tratti di duelli nei cieli delle isole Midway, di difendere Stalingrado col fine occhio di un cecchino, di paracadutarsi sulla Francia, o di farsi strada attraverso le forze all'avanzata in Nord Africa, la campagna di Call of Duty: Vanguard immerger&agrave; i giocatori in una profonda e coinvolgente narrativa con straordinari personaggi, e combattimenti di dimensioni globali senza precedenti, raccontando allo stesso tempo le struggenti storie di coloro che hanno ribaltato le sorti della guerra, cambiando la storia per sempre.</p><p>Oltre alla campagna, le interminabili avversit&agrave; della battaglia globale spingono la battaglia ulteriormente in questo pacchetto di contenuti epici, tra cui le emozionanti modalit&agrave; multigiocatore e cooperativa. I giocatori diventeranno le avanguardie del mutevole volto della guerra mentre cercheranno di lasciare il segno nei celebri scontri a fuoco di Call of Duty e nella ormai collaudata esperienza multigiocatore. I giocatori saranno anche in grado di mostrare il proprio valore cercando di sopravvivere alle interminabili ondate di non morti in una nuova esperienza Zombi da brividi, sviluppata da Treyarch Studios.</p><p>Call of Duty: Vanguard includer&agrave; inoltre una nuova integrazione con Call of Duty&reg;: Warzone&trade; in seguito al lancio, e comprender&agrave; cross-play, progressione incrociata, partite tra generazioni differenti di console, oltre a un fittissimo calendario di contenuti gratuiti che aggiungeranno nuove mappe multigiocatore, modalit&agrave;, eventi stagionali, celebrazioni della community e molto altro.</p><p>La storia &egrave; stata scritta su questi fronti. &Egrave; stata vinta con queste tattiche. &Egrave; stata preservata da questi eroi. &Egrave; ora di vivere terrore e trionfo attraverso i loro occhi e di affrontare la pi&ugrave; grande sfida mai affrontata che il mondo abbia mai visto. &Egrave; arrivato il momento di dominare su tutti i fronti.</p></div></div></div><div class=""col_right""><div class=""box-carrello"">&nbsp;</div></div>","55,99",Activision Blizzard,50,https://www.erregame.com/P/D/E22473DE18F4410514000000000000000000000000000000.bmp/XB1SWACT0044.jpg,37226
Videogiochi > Giochi,XSXSWACT0003,XBOX Serie X Call of Duty VANGUARD,XBOX Serie X Call of Duty VANGUARD,"<div class=""col_center""><div class=""box2""><div class=""box-content""><p>Per anni, il mondo &egrave; stato tenuto in scacco dalla pi&ugrave; immensa e letale guerra mai vista, ma le sorti della Seconda guerra mondiale stanno finalmente cambiando.</p><p>Ora tocca ad alcuni eroi farsi avanti e cambiare il futuro della guerra per sempre.</p><p>Il leggendario franchise di Call of Duty&reg; torna con Call of Duty&reg;: Vanguard, che metter&agrave; i giocatori nei panni degli eroi della Seconda guerra mondiale attraverso gli eventi che li hanno uniti. Sviluppato da Sledgehammer Games, Vanguard &egrave; una storia profonda e coinvolgente che vede come protagonisti un gruppo di soldati provenienti da diversi paesi che si uniscono per affrontare la pi&ugrave; grande minaccia di sempre, cambiando le sorti della guerra e gettando le basi per ci&ograve; che oggi conosciamo come le forze speciali.</p><p>Attraverso la straordinaria avventura di questi indomiti soldati, i giocatori toccheranno con mano le battaglie della Seconda guerra mondiale, partecipando ai teatri di vittorie nei fronti orientali e occidentali in Europa, nel Pacifico, e in Nord Africa. Che si tratti di duelli nei cieli delle isole Midway, di difendere Stalingrado col fine occhio di un cecchino, di paracadutarsi sulla Francia, o di farsi strada attraverso le forze all'avanzata in Nord Africa, la campagna di Call of Duty: Vanguard immerger&agrave; i giocatori in una profonda e coinvolgente narrativa con straordinari personaggi, e combattimenti di dimensioni globali senza precedenti, raccontando allo stesso tempo le struggenti storie di coloro che hanno ribaltato le sorti della guerra, cambiando la storia per sempre.</p><p>Oltre alla campagna, le interminabili avversit&agrave; della battaglia globale spingono la battaglia ulteriormente in questo pacchetto di contenuti epici, tra cui le emozionanti modalit&agrave; multigiocatore e cooperativa. I giocatori diventeranno le avanguardie del mutevole volto della guerra mentre cercheranno di lasciare il segno nei celebri scontri a fuoco di Call of Duty e nella ormai collaudata esperienza multigiocatore. I giocatori saranno anche in grado di mostrare il proprio valore cercando di sopravvivere alle interminabili ondate di non morti in una nuova esperienza Zombi da brividi, sviluppata da Treyarch Studios.</p><p>Call of Duty: Vanguard includer&agrave; inoltre una nuova integrazione con Call of Duty&reg;: Warzone&trade; in seguito al lancio, e comprender&agrave; cross-play, progressione incrociata, partite tra generazioni differenti di console, oltre a un fittissimo calendario di contenuti gratuiti che aggiungeranno nuove mappe multigiocatore, modalit&agrave;, eventi stagionali, celebrazioni della community e molto altro.</p><p>La storia &egrave; stata scritta su questi fronti. &Egrave; stata vinta con queste tattiche. &Egrave; stata preservata da questi eroi. &Egrave; ora di vivere terrore e trionfo attraverso i loro occhi e di affrontare la pi&ugrave; grande sfida mai affrontata che il mondo abbia mai visto. &Egrave; arrivato il momento di dominare su tutti i fronti.</p></div></div></div><div class=""col_right""><div class=""box-carrello"">&nbsp;</div></div>","59,99",Activision Blizzard,50,https://www.erregame.com/P/D/E33E33DE18F4410413000000000000000000000000000000.bmp/XSXSWACT0003.jpg,37227
Informatica > Tablet,TABTBALC0016,"Alcatel 1T 10 8092 2+32GB 10"" WiFi Black ITA","Alcatel 1T 10 8092 2+32GB 10"" WiFi Black ITA",,"118,99",Alcatel,4,https://www.erregame.com/P/D/D218B48A1B23410456000000000000000000000000000000.bmp/TABTBALC0016.jpg,37585
Informatica > Tablet,TABTBALC0017,"Alcatel 1T 2021 9309X 1+16GB 7"" WiFi Black ITA","Alcatel 1T 2021 9309X 1+16GB 7"" WiFi Black ITA",,"69,99",Alcatel,15,https://www.erregame.com/P/D/D218B48A1B23410457000000000000000000000000000000.bmp/TABTBALC0017.jpg,40679
Informatica > Tablet,TABTBALC0018,"Alcatel 1T 2021 9309X 1+16GB 7"" WiFi Green ITA","Alcatel 1T 2021 9309X 1+16GB 7"" WiFi Green ITA",,"69,99",Alcatel,5,https://www.erregame.com/P/D/D218B48A1B23410458000000000000000000000000000000.bmp/TABTBALC0018.jpg,40680
Telefonia > Smartphone,SMASMALC0091,"Alcatel 1 (2021) 5033DR 1+8GB 5.0"" Al Aqua DS ITA","Alcatel 1 (2021) 5033DR 1+8GB 5.0"" Al Aqua DS ITA",,"55,99",Alcatel,38,https://www.erregame.com/P/D/CED873B61B23410651000000000000000000000000000000.bmp/SMASMALC0091.jpg,38657
Telefonia > Smartphone,SMASMALC0100,"Alcatel 1 5033G 1+16GB 5.0"" Volcano Black (Resin) ITA","Alcatel 1 5033G 1+16GB 5.0"" Volcano Black (Resin) ITA",,"55,99",Alcatel,39,https://www.erregame.com/P/D/CED873B61B23411410000000000000000000000000000000.bmp/SMASMALC0100.jpg,39698
Telefonia > Smartphone,SMASMALC0083,"Alcatel 1B 2+32GB 5.5"" Prime Black DS ITA","Alcatel 1B 2+32GB 5.5"" Prime Black DS ITA",,"82,99",Alcatel,50,https://www.erregame.com/P/D/CED873B61B23410613000000000000000000000000000000.bmp/SMASMALC0083.jpg,35198
